,variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,BB,FLOW,VER,MAT,review
3198,Chasselas,585,585Mtp70,NA,2005,2/4/05,3/6/05,29/7/05,22/8/05,2/4/05,3/6/05,29/7/2005,22/8/2005,NA
3199,Chasselas,585,585Mtp70,NA,2006,26/3/06,27/5/06,22/7/06,8/8/06,26/3/2006,27/5/2006,22/7/2006,8/8/06,NA
3200,Chasselas,585,585Mtp70,NA,2007,8/3/07,19/5/07,12/7/07,13/8/07,8/3/07,19/5/2007,12/7/07,13/8/2007,NA
3201,Chasselas,585,585Mtp70,NA,2008,4/3/08,23/5/08,NA,NA,4/3/08,23/5/2008,NA,NA,NA
3202,Chasselas,585,585Mtp70,NA,2009,19/3/09,NA,NA,NA,19/3/2009,NA,NA,NA,NA
3203,Chasselas,585,585Mtp71,NA,1964,26/3/64,NA,NA,4/8/64,26/3/1964,NA,NA,4/8/64,NA
3204,Chasselas,585,585Mtp71,NA,1965,31/3/65,NA,NA,5/8/65,31/3/1965,NA,NA,5/8/65,NA
3205,Chasselas,585,585Mtp71,NA,1966,14/3/66,NA,NA,10/8/66,14/3/1966,NA,NA,10/8/66,NA
3206,Chasselas,585,585Mtp71,NA,1967,18/3/67,NA,NA,NA,18/3/1967,NA,NA,NA,NA
3207,Chasselas,585,585Mtp71,NA,1968,25/3/68,NA,NA,12/8/68,25/3/1968,NA,NA,12/8/68,NA
3208,Chasselas,585,585Mtp71,NA,1969,25/3/69,NA,NA,26/8/69,25/3/1969,NA,NA,26/8/1969,NA
3209,Chasselas,585,585Mtp71,NA,1972,NA,NA,NA,21/8/72,NA,NA,NA,21/8/1972,NA
3210,Chasselas,585,585Mtp72,NA,1964,26/3/64,NA,NA,NA,26/3/1964,NA,NA,NA,NA
3211,Chasselas,585,585Mtp72,NA,1965,31/3/65,NA,NA,5/8/65,31/3/1965,NA,NA,5/8/65,NA
3212,Chasselas,585,585Mtp72,NA,1966,12/3/66,NA,NA,10/8/66,12/3/66,NA,NA,10/8/66,NA
3213,Chasselas,585,585Mtp72,NA,1967,14/3/67,NA,NA,NA,14/3/1967,NA,NA,NA,NA
3214,Chasselas,585,585Mtp72,NA,1968,27/3/68,NA,NA,12/8/68,27/3/1968,NA,NA,12/8/68,NA
3215,Chasselas,585,585Mtp72,NA,1969,25/3/69,NA,NA,19/8/69,25/3/1969,NA,NA,19/8/1969,NA
3216,Chasselas,585,585Mtp72,NA,1972,NA,NA,NA,21/8/72,NA,NA,NA,21/8/1972,NA
3217,Chasselas,585,585Mtp72,NA,1979,NA,NA,23/7/79,NA,NA,NA,23/7/1979,NA,NA
3218,Chasselas,585,585Mtp72,NA,1980,NA,NA,1/8/80,NA,NA,NA,1/8/80,NA,NA
3219,Chasselas,585,585Mtp72,NA,1981,27/3/81,NA,24/7/81,NA,27/3/1981,NA,24/7/1981,NA,NA
